#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 01 02 01 30 999 99.0 99.0  1.84 10.53  7.73  72 9999.0 999.0  25.6 999.0 99.0 99.00
2020 01 02 02 00 999 99.0 99.0  2.00 10.53  7.90  69 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 02 30 999 99.0 99.0  1.96 10.53  7.88  68 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 03 00 999 99.0 99.0  1.88  9.88  7.71  67 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 03 30 999 99.0 99.0  1.86 10.53  7.84  65 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 04 00 999 99.0 99.0  2.01  9.88  8.12  69 9999.0 999.0  25.5 999.0 99.0 99.00
2020 01 02 04 30 999 99.0 99.0  1.87 10.53  7.75  75 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 05 00 999 99.0 99.0  1.81 10.53  7.59  48 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 05 30 999 99.0 99.0  1.92  9.88  7.70  68 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 06 00 999 99.0 99.0  1.77  9.88  7.41  79 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 06 30 999 99.0 99.0  1.86 10.53  7.47  46 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 07 00 999 99.0 99.0  1.85  9.88  7.59  74 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 07 30 999 99.0 99.0  1.85  9.88  7.50  72 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 08 00 999 99.0 99.0  1.95  9.88  7.57  64 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 08 30 999 99.0 99.0  1.78 10.53  7.30  53 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 09 00 999 99.0 99.0  1.94 11.11  7.40  29 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 09 30 999 99.0 99.0  1.78 10.53  7.26  65 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 10 00 999 99.0 99.0  1.76  9.88  7.54  54 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 10 30 999 99.0 99.0  1.78 11.11  7.29 358 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 11 00 999 99.0 99.0  1.75  9.88  7.28  57 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 11 30 999 99.0 99.0  1.73  9.88  7.21  55 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 12 00 999 99.0 99.0  1.90 10.53  7.52  30 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 12 30 999 99.0 99.0  1.78 10.53  7.13  50 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 13 00 999 99.0 99.0  1.69  9.88  7.10  60 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 13 30 999 99.0 99.0  2.02  9.88  7.83  71 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 14 00 999 99.0 99.0  1.61 11.11  7.18  41 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 14 30 999 99.0 99.0  1.69 10.53  7.41  55 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 15 00 999 99.0 99.0  1.64 10.53  7.30  43 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 15 30 999 99.0 99.0  1.86  9.88  7.74  57 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 16 00 999 99.0 99.0  1.80 10.53  7.82  67 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 16 30 999 99.0 99.0  1.64 10.53  7.30  75 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 17 00 999 99.0 99.0  1.72  9.88  7.73  69 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 17 30 999 99.0 99.0  1.60 10.53  7.38  57 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 18 00 999 99.0 99.0  1.58  9.88  7.64  64 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 18 30 999 99.0 99.0  1.70  9.88  7.80  55 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 19 00 999 99.0 99.0  1.75  9.88  7.95  57 9999.0 999.0  24.9 999.0 99.0 99.00
2020 01 02 19 30 999 99.0 99.0  1.65  9.09  7.67  67 9999.0 999.0  25.2 999.0 99.0 99.00
2020 01 02 20 00 999 99.0 99.0  1.51  9.88  7.28  48 9999.0 999.0  25.2 999.0 99.0 99.00
2020 01 02 20 30 999 99.0 99.0  1.48 10.53  7.33  55 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 21 00 999 99.0 99.0  1.56 10.53  7.45  60 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 21 30 999 99.0 99.0  1.43 10.53  7.40  36 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 22 00 999 99.0 99.0  1.50 10.53  7.37  67 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 02 22 30 999 99.0 99.0  1.57  9.88  7.05  53 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 23 00 999 99.0 99.0  1.40 10.53  6.86  75 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 02 23 30 999 99.0 99.0  1.63  9.88  7.31  68 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 03 00 00 999 99.0 99.0  1.38 10.53  6.53  68 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 03 00 30 999 99.0 99.0  1.67 10.53  7.06  65 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 03 01 00 999 99.0 99.0  1.50  9.88  6.57  58 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 03 01 30 999 99.0 99.0  1.51 11.11  6.56  44 9999.0 999.0  25.4 999.0 99.0 99.00
2020 01 03 02 00 999 99.0 99.0  1.50  9.88  6.47  71 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 02 30 999 99.0 99.0  1.61  9.88  6.75  64 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 03 00 999 99.0 99.0  1.45 10.53  6.37  68 9999.0 999.0  25.3 999.0 99.0 99.00
2020 01 03 03 30 999 99.0 99.0  1.61  9.09  6.46  65 9999.0 999.0  25.3 999.0 99.0 99.00
