#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 09 01 00 00 999 99.0 99.0  2.49 12.50  6.96  65 9999.0 999.0  27.1 999.0 99.0 99.00
2016 09 01 01 00 999 99.0 99.0  2.75 11.76  7.06  67 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 01 30 999 99.0 99.0  2.71  7.69  6.70  68 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 02 00 999 99.0 99.0  2.75 11.76  6.72  71 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 02 30 999 99.0 99.0  2.64 12.50  6.84  67 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 03 00 999 99.0 99.0  2.84 11.76  6.73  69 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 03 30 999 99.0 99.0  2.86  9.88  6.95  75 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 04 00 999 99.0 99.0  2.82 11.11  6.66  72 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 04 30 999 99.0 99.0  2.92 10.53  6.94  78 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 05 30 999 99.0 99.0  2.77 10.53  6.78  74 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 06 00 999 99.0 99.0  2.96 10.53  6.98  74 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 06 30 999 99.0 99.0  2.70 11.11  6.66  72 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 07 00 999 99.0 99.0  2.66 10.53  6.79  77 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 07 30 999 99.0 99.0  2.81 10.53  6.78  71 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 08 00 999 99.0 99.0  2.66 10.53  6.97  71 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 08 30 999 99.0 99.0  2.84 11.11  6.97  71 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 09 00 999 99.0 99.0  2.69 10.53  6.81  74 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 09 30 999 99.0 99.0  2.75 10.53  6.88  79 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 10 00 999 99.0 99.0  2.73  9.88  6.77  75 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 11 00 999 99.0 99.0  2.49  7.14  6.36  69 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 11 30 999 99.0 99.0  2.66  9.88  6.72  74 9999.0 999.0  27.0 999.0 99.0 99.00
2016 09 01 12 00 999 99.0 99.0  2.61  9.09  6.70  71 9999.0 999.0  27.0 999.0 99.0 99.00
