#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 01 01 00 00 999 99.0 99.0  1.95 11.11  6.77  20 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 01 00 30 999 99.0 99.0  1.92  9.09  6.69  29 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 01 01 00 999 99.0 99.0  1.98 11.11  6.92  12 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 01 01 30 999 99.0 99.0  2.10  9.09  7.02  27 9999.0 999.0  24.7 999.0 99.0 99.00
2017 01 01 02 00 999 99.0 99.0  1.98  9.09  6.66  23 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 02 30 999 99.0 99.0  2.00  9.88  6.59  19 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 03 00 999 99.0 99.0  1.97  9.09  6.57  22 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 03 30 999 99.0 99.0  2.03 10.53  6.84  16 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 04 00 999 99.0 99.0  2.07 10.53  6.86  15 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 04 30 999 99.0 99.0  2.11  9.88  6.89  12 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 05 00 999 99.0 99.0  2.19 10.53  6.82  23 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 05 30 999 99.0 99.0  1.99 11.11  6.59  19 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 06 00 999 99.0 99.0  2.00  9.88  6.55  29 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 06 30 999 99.0 99.0  2.06 10.53  6.55  17 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 07 00 999 99.0 99.0  1.96  9.88  6.43  24 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 07 30 999 99.0 99.0  1.97  9.88  6.34   9 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 08 00 999 99.0 99.0  1.94  9.09  6.29  24 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 08 30 999 99.0 99.0  1.97  9.09  6.66  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 09 00 999 99.0 99.0  2.00  9.09  6.64  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 09 30 999 99.0 99.0  2.03  9.88  6.69  12 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 10 30 999 99.0 99.0  1.99  9.88  6.67   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 11 00 999 99.0 99.0  1.82  9.09  6.49  20 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 11 30 999 99.0 99.0  1.98  9.09  6.60  19 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 12 00 999 99.0 99.0  2.03  8.33  6.61  19 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 12 30 999 99.0 99.0  2.00  9.09  6.60  19 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 01 13 00 999 99.0 99.0  1.95  9.88  6.76  15 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 01 13 30 999 99.0 99.0  1.89  9.88  6.66  20 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 01 14 00 999 99.0 99.0  1.86  9.09  6.70  33 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 01 14 30 999 99.0 99.0  1.90  9.88  6.78  20 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 15 00 999 99.0 99.0  1.93  9.88  6.76  26 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 15 30 999 99.0 99.0  1.72 10.53  6.70  29 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 16 00 999 99.0 99.0  1.80  9.88  6.82  27 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 01 16 30 999 99.0 99.0  1.66  9.88  6.64  39 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 17 00 999 99.0 99.0  1.65  9.09  6.59  36 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 17 30 999 99.0 99.0  1.60  9.88  6.76  23 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 18 00 999 99.0 99.0  1.65  9.88  6.73   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 18 30 999 99.0 99.0  1.78  9.09  6.96  29 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 19 00 999 99.0 99.0  1.79  9.88  6.77  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 19 30 999 99.0 99.0  1.91  9.88  7.16  22 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 20 00 999 99.0 99.0  1.85 10.53  7.04  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 20 30 999 99.0 99.0  1.70  9.09  6.81  26 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 21 00 999 99.0 99.0  1.77  9.88  6.81  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 21 30 999 99.0 99.0  1.82  9.09  7.04  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 22 00 999 99.0 99.0  1.74  9.88  6.71   6 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 22 30 999 99.0 99.0  1.74 10.53  6.65  12 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 01 23 00 999 99.0 99.0  1.90  9.88  7.04  17 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 01 23 30 999 99.0 99.0  1.73  9.88  6.88  26 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 02 00 00 999 99.0 99.0  1.98  9.88  7.40  15 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 00 30 999 99.0 99.0  1.92  9.88  7.19  12 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 01 00 999 99.0 99.0  2.00  9.09  7.12  16 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 01 30 999 99.0 99.0  1.94 11.11  7.53  26 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 02 00 999 99.0 99.0  1.90  9.88  7.23   2 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 02 30 999 99.0 99.0  2.00 10.53  7.40  10 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 03 00 999 99.0 99.0  1.99 12.50  7.50  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 03 30 999 99.0 99.0  2.02 12.50  7.67  22 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 04 00 999 99.0 99.0  1.90 13.33  7.48  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 04 30 999 99.0 99.0  1.73 13.33  6.97  16 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 05 00 999 99.0 99.0  2.01 11.76  7.65  22 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 05 30 999 99.0 99.0  2.12 12.50  8.05  17 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 06 00 999 99.0 99.0  1.85 11.76  7.62  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 06 30 999 99.0 99.0  1.92 12.50  7.67  23 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 07 00 999 99.0 99.0  1.95 11.76  7.78  16 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 07 30 999 99.0 99.0  1.87 12.50  7.82  20 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 08 00 999 99.0 99.0  2.02 11.76  8.14  17 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 08 30 999 99.0 99.0  1.77 12.50  7.54  17 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 09 00 999 99.0 99.0  1.98 12.50  7.82   6 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 09 30 999 99.0 99.0  1.88 11.11  7.68  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 10 00 999 99.0 99.0  1.83 11.11  7.50  17 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 10 30 999 99.0 99.0  1.89 11.11  7.65  17 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 11 00 999 99.0 99.0  1.83 11.76  7.58  13 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 11 30 999 99.0 99.0  1.85 12.50  7.44   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 12 00 999 99.0 99.0  1.71 11.11  7.35  12 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 12 30 999 99.0 99.0  1.84 12.50  7.78   9 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 13 00 999 99.0 99.0  1.65 10.53  7.36   5 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 13 30 999 99.0 99.0  1.72 11.76  7.59  17 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 14 00 999 99.0 99.0  1.68 11.76  7.56  23 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 14 30 999 99.0 99.0  1.84 10.53  7.68  17 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 15 00 999 99.0 99.0  1.66 11.76  7.52  16 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 15 30 999 99.0 99.0  1.59 11.76  7.45   9 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 16 00 999 99.0 99.0  1.68 11.11  7.52  13 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 16 30 999 99.0 99.0  1.65 10.53  7.48  12 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 17 00 999 99.0 99.0  1.69 10.53  7.56  15 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 17 30 999 99.0 99.0  1.69  9.88  7.34   3 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 18 00 999 99.0 99.0  1.64 11.11  7.28   8 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 18 30 999 99.0 99.0  1.69 11.11  7.41  19 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 19 00 999 99.0 99.0  1.67 11.76  7.50  20 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 19 30 999 99.0 99.0  1.65 11.11  7.29  15 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 20 00 999 99.0 99.0  1.65 11.11  7.33  17 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 20 30 999 99.0 99.0  1.57 11.76  7.61   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 21 00 999 99.0 99.0  1.79  9.88  7.72  19 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 02 21 30 999 99.0 99.0  1.47 11.76  7.00   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 22 00 999 99.0 99.0  1.58  9.09  7.44  22 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 22 30 999 99.0 99.0  1.54 11.11  7.30  30 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 23 00 999 99.0 99.0  1.52 11.11  7.58  17 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 02 23 30 999 99.0 99.0  1.40  9.88  7.36  13 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 00 00 999 99.0 99.0  1.52 11.11  7.62  13 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 00 30 999 99.0 99.0  1.40 10.53  7.41  16 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 01 00 999 99.0 99.0  1.61 11.76  7.87  16 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 01 30 999 99.0 99.0  1.46 11.11  7.41   9 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 02 00 999 99.0 99.0  1.53 11.76  7.47  12 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 03 02 30 999 99.0 99.0  1.51  9.88  7.29  32 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 03 00 999 99.0 99.0  1.60 10.53  7.44   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 03 30 999 99.0 99.0  1.46  9.09  7.12  16 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 04 00 999 99.0 99.0  1.55 11.11  7.44   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 04 30 999 99.0 99.0  1.43 11.76  7.17   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 05 00 999 99.0 99.0  1.45  9.88  7.15  10 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 05 30 999 99.0 99.0  1.56 10.53  7.37   8 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 06 00 999 99.0 99.0  1.45  9.88  6.92   9 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 06 30 999 99.0 99.0  1.47  9.88  7.09  23 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 07 00 999 99.0 99.0  1.46  9.09  6.91  22 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 07 30 999 99.0 99.0  1.46  8.33  6.86  32 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 08 00 999 99.0 99.0  1.51  9.88  7.23  16 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 08 30 999 99.0 99.0  1.42  9.09  7.08  26 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 09 00 999 99.0 99.0  1.40  9.09  7.05  17 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 09 30 999 99.0 99.0  1.37  8.33  6.94  26 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 10 00 999 99.0 99.0  1.32 11.11  7.10  12 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 10 30 999 99.0 99.0  1.37  9.88  7.03  20 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 11 00 999 99.0 99.0  1.35  9.09  7.06  15 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 11 30 999 99.0 99.0  1.33  8.33  6.96  26 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 12 00 999 99.0 99.0  1.36  8.33  7.13  36 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 12 30 999 99.0 99.0  1.32 10.53  7.01  10 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 13 00 999 99.0 99.0  1.40  9.88  7.17  26 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 13 30 999 99.0 99.0  1.29  9.09  7.01  19 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 14 00 999 99.0 99.0  1.21  8.33  6.92  26 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 14 30 999 99.0 99.0  1.21  9.88  6.97   1 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 15 00 999 99.0 99.0  1.36  8.33  7.04  30 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 15 30 999 99.0 99.0  1.24  9.09  6.84  32 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 16 00 999 99.0 99.0  1.22 10.53  6.83  16 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 16 30 999 99.0 99.0  1.26  9.88  6.73  19 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 17 00 999 99.0 99.0  1.24  7.69  6.54  40 9999.0 999.0  24.3 999.0 99.0 99.00
2017 01 03 17 30 999 99.0 99.0  1.22  9.88  6.62  33 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 18 00 999 99.0 99.0  1.13  7.69  6.58  41 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 18 30 999 99.0 99.0  1.21  8.33  6.92  55 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 19 00 999 99.0 99.0  1.02 11.11  6.70  20 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 19 30 999 99.0 99.0  1.11  7.69  6.92  54 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 20 00 999 99.0 99.0  1.12 10.53  6.97  30 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 21 00 999 99.0 99.0  1.04  9.88  6.69  37 9999.0 999.0  24.4 999.0 99.0 99.00
2017 01 03 21 30 999 99.0 99.0  1.05 10.53  6.82   6 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 22 00 999 99.0 99.0  1.14  9.09  7.04  19 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 22 30 999 99.0 99.0  1.08  8.33  6.93  48 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 23 00 999 99.0 99.0  1.08 10.53  6.83  15 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 03 23 30 999 99.0 99.0  1.01  9.88  6.57  36 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 00 00 999 99.0 99.0  1.09 10.53  6.82  12 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 00 30 999 99.0 99.0  1.05  9.88  6.91  10 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 01 00 999 99.0 99.0  1.00  8.33  6.68  61 9999.0 999.0  24.6 999.0 99.0 99.00
2017 01 04 01 30 999 99.0 99.0  1.02 11.11  6.87   6 9999.0 999.0  24.5 999.0 99.0 99.00
2017 01 04 02 00 999 99.0 99.0  1.11  9.88  7.19  26 9999.0 999.0  24.5 999.0 99.0 99.00
