#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 01 00 26 999 99.0 99.0  1.30 12.50  6.89  30 9999.0 999.0  24.4 999.0 99.0 99.00
2024 01 01 00 56 999 99.0 99.0  1.19 13.33  6.69  20 9999.0 999.0  24.4 999.0 99.0 99.00
2024 01 01 01 26 999 99.0 99.0  1.27 11.76  6.87  24 9999.0 999.0  24.4 999.0 99.0 99.00
2024 01 01 01 56 999 99.0 99.0  1.21 11.76  6.98  17 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 02 26 999 99.0 99.0  1.32 11.11  7.04  21 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 02 56 999 99.0 99.0  1.24 12.50  6.42  13 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 03 26 999 99.0 99.0  1.30 12.50  6.50  17 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 03 56 999 99.0 99.0  1.34 11.76  7.04  16 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 04 26 999 99.0 99.0  1.33 12.50  7.11  13 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 04 56 999 99.0 99.0  1.41 11.76  7.41  18 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 05 26 999 99.0 99.0  1.28 11.11  7.04   7 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 05 56 999 99.0 99.0  1.34 11.11  7.44   9 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 06 26 999 99.0 99.0  1.34 12.50  7.40  13 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 06 56 999 99.0 99.0  1.35 11.11  7.39  14 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 07 26 999 99.0 99.0  1.36 11.76  7.45  11 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 07 56 999 99.0 99.0  1.32 15.38  7.30 357 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 08 26 999 99.0 99.0  1.24 14.29  7.44 355 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 08 56 999 99.0 99.0  1.23 11.76  7.42  16 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 09 26 999 99.0 99.0  1.20 14.29  7.17 349 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 09 56 999 99.0 99.0  1.28 14.29  7.85 356 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 10 26 999 99.0 99.0  1.25 14.29  7.64 359 9999.0 999.0  24.3 999.0 99.0 99.00
2024 01 01 10 56 999 99.0 99.0  1.19 15.38  7.12  11 9999.0 999.0  24.3 999.0 99.0 99.00
