#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2021 01 01 00 26 999 99.0 99.0  2.06  6.67  6.03  74 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 00 56 999 99.0 99.0  2.09  6.67  6.09  71 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 01 26 999 99.0 99.0  2.15  6.67  6.11  65 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 01 56 999 99.0 99.0  2.01  6.67  6.13  69 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 02 26 999 99.0 99.0  2.12  6.25  6.15  58 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 02 56 999 99.0 99.0  2.17  6.67  6.45  58 9999.0 999.0  25.6 999.0 99.0 99.00
2021 01 01 03 26 999 99.0 99.0  2.05  6.67  6.18  62 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 03 56 999 99.0 99.0  2.02  6.67  6.22  65 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 04 26 999 99.0 99.0  1.98  7.14  6.32  71 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 04 56 999 99.0 99.0  2.07  6.67  6.18  71 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 05 26 999 99.0 99.0  2.00  6.67  6.12  54 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 05 56 999 99.0 99.0  1.94  9.09  5.99  71 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 06 26 999 99.0 99.0  1.98 14.29  6.01 349 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 06 56 999 99.0 99.0  2.04  6.67  6.09  74 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 07 26 999 99.0 99.0  2.00  6.25  5.96  69 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 07 56 999 99.0 99.0  2.17  9.09  6.29  78 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 08 26 999 99.0 99.0  1.96  9.09  6.01  68 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 08 56 999 99.0 99.0  2.13 14.29  6.33 341 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 09 26 999 99.0 99.0  1.97 13.33  6.15 342 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 09 56 999 99.0 99.0  1.88 13.33  5.97 351 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 10 26 999 99.0 99.0  1.94  6.25  6.23  53 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 10 56 999 99.0 99.0  1.91 10.53  6.04 358 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 11 26 999 99.0 99.0  1.88 11.76  6.14 337 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 11 56 999 99.0 99.0  2.05  6.67  6.19  58 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 12 26 999 99.0 99.0  2.14  6.67  6.17  57 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 12 56 999 99.0 99.0  2.15  5.88  6.25  55 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 13 26 999 99.0 99.0  2.21 16.67  6.61 354 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 13 56 999 99.0 99.0  2.23 12.50  6.67 344 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 14 26 999 99.0 99.0  2.24 12.50  6.71 348 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 14 56 999 99.0 99.0  2.33  6.67  6.41  61 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 15 26 999 99.0 99.0  2.45 14.29  6.32 341 9999.0 999.0  25.5 999.0 99.0 99.00
2021 01 01 15 56 999 99.0 99.0  2.40  6.67  6.36  69 9999.0 999.0  25.5 999.0 99.0 99.00
