#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2023 01 21 23 56 999 99.0 99.0  0.78  7.69  5.46  83 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 00 26 999 99.0 99.0  0.82  6.25  5.64  80 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 00 56 999 99.0 99.0  0.83  6.67  6.20  75 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 01 26 999 99.0 99.0  0.84 12.50  6.25   3 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 01 56 999 99.0 99.0  0.83 13.33  6.19 357 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 02 26 999 99.0 99.0  0.80  7.69  5.88  87 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 02 56 999 99.0 99.0  0.85  7.14  6.22  86 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 03 26 999 99.0 99.0  0.73 13.33  6.35   6 9999.0 999.0  24.9 999.0 99.0 99.00
2023 01 22 03 56 999 99.0 99.0  0.78  7.69  6.29  82 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 04 26 999 99.0 99.0  0.76  7.69  6.18  80 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 04 56 999 99.0 99.0  0.77 13.33  6.52   3 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 05 26 999 99.0 99.0  0.75 13.33  6.62   3 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 05 56 999 99.0 99.0  0.71 13.33  6.22  10 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 06 26 999 99.0 99.0  0.78 12.50  6.34 353 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 06 56 999 99.0 99.0  0.78 13.33  6.16   9 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 07 26 999 99.0 99.0  0.77 13.33  6.28 355 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 07 56 999 99.0 99.0  0.78 12.50  6.31 350 9999.0 999.0  24.8 999.0 99.0 99.00
2023 01 22 08 26 999 99.0 99.0  0.76 11.76  6.33 343 9999.0 999.0  24.8 999.0 99.0 99.00
